date_and_time,date,time,price
2/14/2018 9:30,2/14/2018,9:30,163.04
2/14/2018 16:00,2/14/2018,16:00,167.37
2/15/2018 9:30,2/15/2018,9:30,169.79
2/15/2018 16:00,2/15/2018,16:00,172.99
