price,volume,date_and_time,change
174.35,20567800,1/8/2018 16:00,down
174.33,21584000,1/9/2018 16:00,down
155.15,54390500,2/8/2018 16:00,down
156.41,70672600,2/9/2018 16:00,up
176.94,23774100,3/8/2018 16:00,up
179.98,32185200,3/9/2018 16:00,up
